模块,类,函数名
action,model,create
action,model,getDynamicByProject
action,model,getDynamicCount
action,model,getHistory
action,model,getMoreActions
action,model,getRelatedFields
action,model,hasMoreAction
action,model,printAction
action,model,printActionForGitLab
action,model,printChanges
action,model,processDynamicForAPI
action,model,processProjectActions
action,model,renderAction
admin,model,checkInternet
admin,model,checkPrivMenu
admin,model,checkWeak
admin,model,genDateUsed
admin,model,getApiConfig
admin,model,getSecretKey
admin,model,setSubMenu
aiapp,model,__construct
ai,model,getDefaultLanguageModel
ai,model,toggleModel
api,model,createStruct
bi,model,downloadFile
bi,model,getColumns
bi,model,getCorrectGroup
bi,model,getTableFields
bi,model,initParquet
bi,model,prepareBuiltinChartSQL
bi,model,prepareColumns
bi,model,prepareFieldObjects
bi,model,sql2Statement
block,model,getModelType4Projects
branch,model,manage
bug,model,getBySearch
bug,model,getDataOfOpenedBugsPerDay
bug,model,getDataOfResolvedBugsPerDay
bug,model,getDatatableModules
bug,model,getLinkedCommits
bug,model,getRelatedObjects
bug,model,updateLinkedCommits
build,model,addReleaseLabelForBuilds
build,model,batchUnlinkStory
build,model,joinChildBuilds
caselib,model,getPairs
chart,model,__construct
chart,model,addFormatter4Echart
chart,model,addRotate4Echart
chart,model,checkAccess
chart,model,genCluBar
chart,model,genLineChart
chart,model,genPie
chart,model,genRadar
chart,model,genWaterpolo
chart,model,processChart
cne,model,__construct
cne,model,allDBList
cne,model,apiGet
cne,model,apiPost
cne,model,appDBDetail
cne,model,appDBList
cne,model,backup
cne,model,backupDetail
cne,model,batchQueryStatus
cne,model,certInfo
cne,model,cneServerError
cne,model,dbDetail
cne,model,deleteBackup
cne,model,getAppConfig
cne,model,getAppLogs
cne,model,getAppVolumes
cne,model,getBackupList
cne,model,getBackupStatus
cne,model,getComponents
cne,model,getDefaultAccount
cne,model,getDiskSettings
cne,model,getDomain
cne,model,getEvents
cne,model,getPods
cne,model,getRestoreStatus
cne,model,getSettingsMapping
cne,model,getVolumesMetrics
cne,model,installApp
cne,model,instancesMetrics
cne,model,queryStatus
cne,model,restore
cne,model,sharedDBList
cne,model,startApp
cne,model,stopApp
cne,model,sysDomain
cne,model,translateError
cne,model,tryAllocate
cne,model,updateConfig
cne,model,uploadCert
cne,model,validateCert
cne,model,validateDB
common,model,apiError
common,model,buildMoreButton
common,model,buildOperateMenu
common,model,canOperateEffort
common,model,checkEntry
common,model,checkSafeFile
common,model,formConfig
common,model,judgeSuhosinSetting
common,model,printBack
common,model,printDuration
common,model,printPreAndNext
common,model,processMarkdown
common,model,setUserConfig
company,model,getFirst
company,model,getOutsideCompanies
compile,model,createByJob
compile,model,getByID
compile,model,getLastResult
compile,model,getLogs
compile,model,syncGitlabBuildList
compile,model,syncJenkinsBuildList
convert,model,getVersionGroup
convert,model,getZentaoFields
convert,model,getZentaoObjectList
convert,model,getZentaoRelationList
custom,model,disableFeaturesByMode
custom,model,getRequiredFields
custom,model,getURSRList
demand,model,distribute
dev,model,getAPIs
dev,model,getFields
dev,model,getModules
dev,model,setField
dimension,model,__construct
doc,model,addBuiltInDocTemplateByType
doc,model,getDocTemplateSpaces
doc,model,getSpaces
editor,model,getAPILink
editor,model,getExtendLink
editor,model,getExtensionFiles
editor,model,getMethodCode
editor,model,getParam
editor,model,getTwoGradeFiles
entry,model,getLogs
entry,model,saveLog
entry,model,updateCalledTime
epic,model,getToAndCcList
execution,model,appendTasks
execution,model,buildTree
execution,model,changeStatus2Doing
execution,model,changeStatus2Wait
execution,model,create
execution,model,createDefaultSprint
execution,model,fixOrder
execution,model,getBurnData
execution,model,getByID
execution,model,getFullNameList
execution,model,getKanbanColorList
execution,model,getKanbanColumns
execution,model,getLimitedExecution
execution,model,getTotalEstimate
execution,model,getTree
execution,model,linkStories
execution,model,setTreePath
execution,model,statRelatedData
extension,model,__construct
extension,model,executeDB
extension,model,getFilesFromPackage
extension,model,removePackage
file,model,autoDelete
file,model,getCount
file,model,getUpload
file,model,saveAsTempFile
file,model,setFileWebAndRealPaths
file,model,unlinkFile
gitea,model,parseApiError
gitlab,model,apiCreatePipeline
gitlab,model,apiDeleteTagPriv
gitlab,model,apiGetBranches
gitlab,model,apiGetMergeRequests
gitlab,model,apiGetNamespaces
gitlab,model,apiGetPipeline
gitlab,model,apiGetSingleBranch
gitlab,model,apiGetSinglePipeline
gitlab,model,apiUpdateGroup
gitlab,model,apiUpdateGroupMember
gitlab,model,apiUpdateProject
gitlab,model,createGroup
gitlab,model,getCommits
gitlab,model,getPairs
gitlab,model,getProjectName
gitlab,model,getVersion
gitlab,model,isWebhookExists
gitlab,model,manageBranchPrivs
gitlab,model,saveImportedIssue
gogs,model,checkTokenAccess
group,model,loadResourceLang
group,model,sortResource
holiday,model,getYearPairs
host,model,processtreeMap
instance,model,installationSettingsMap
instance,model,printCpuUsage
instance,model,stop
job,model,getListByRepoID
job,model,getTriggerConfig
kanban,model,addSpaceMembers
kanban,model,getPairs
kanban,model,getToAndCcList
mail,model,__construct
mail,model,addQueue
mail,model,autoDetect
mail,model,getConfigByMXRR
mail,model,mailExist
mail,model,setGMail
metric,model,checkHasInferenceOfDate
metric,model,deduplication
metric,model,getControlOptions
metric,model,getDateByDateType
metric,model,updateMetricFields
misc,model,getRemind
mr,model,apiCloseMR
mr,model,apiCreate
my,model,getStoriesBySearch
pivot,model,__construct
pivot,model,addDrillFields
pivot,model,genSheet
pivot,model,getMaxVersion
pivot,model,getProducts
pivot,model,getProjectExecutions
pivot,model,processPivot
pivot,model,processRowSpan
pivot,model,switchNewVersion
product,model,buildSearchConfig
program,model,checkPriv
program,model,getSwitcher
program,model,hasUnfinishedChildren
project,model,appendInvolvedCondition
project,model,getExecutionProductGroup
project,model,getInvolvedListByCurrentUser
release,model,deleteRelated
release,model,getToAndCcList
report,model,getContributionCountTips
report,model,getUserYearContributionCount
repo,model,getBranches
repo,model,getListByCondition
repo,model,saveAction2PMS
repo,model,saveEffortForCommit
repo,model,setBugStatusByCommit
repo,model,setTaskByCommit
screen,model,__construct
screen,model,buildBarChart
screen,model,buildComponentList
screen,model,buildWaterPolo
screen,model,genNotFoundOrDraftComponentOption
screen,model,getActiveProductCard
screen,model,getByID
screen,model,getChartOption
screen,model,getList
screen,model,getPieChartOption
screen,model,getThumbnail
screen,model,getUsageReportProjects
screen,model,preparePaginationBeforeFetchRecords
screen,model,setFilterSQL
search,model,buildAllIndex
search,model,buildIndexQuery
search,model,buildOldQuery
search,model,buildQuery
search,model,convertQueryForm
search,model,deleteIndex
search,model,deleteQuery
search,model,getByID
search,model,getList
search,model,getListCount
search,model,getOldQuery
search,model,getQuery
search,model,getQueryList
search,model,getQueryPairs
search,model,processSearchParams
search,model,saveDict
search,model,saveIndex
search,model,saveQuery
search,model,setDefaultParams
search,model,setQuery
search,model,setSearchParams
setting,model,getURSR
setting,model,setSN
sonarqube,model,getProjectPairs
stakeholder,model,isClickable
story,model,batchChangeParent
story,model,batchGetStoryStage
story,model,getDataOfStoriesPerAssignedTo
story,model,getDefaultShowGrades
svn,model,diff
svn,model,getRepoLogs
svn,model,setClient
system,model,getDomainSettings
task,model,updateParent
testcase,model,processDatas
testcase,model,saveXmindImport
testtask,model,importUnitResult
todo,model,dateRange
tutorial,model,getColumn
user,model,checkBeforeCreateOrEdit
user,model,failPlus
user,model,getManageListGroupByType
user,model,getProjects
user,model,identify
user,model,mergeAclsToUserView
webhook,model,buildData
webhook,model,getViewLink
weekly,model,addBuiltinWeeklyTemplate
weekly,model,getLeft
weekly,model,getPageNav
zahost,model,create
zahost,model,update
zanode,model,createImage
zanode,model,deleteSnapshot
zanode,model,editSnapshot
zanode,model,restoreSnapshot
zanode,model,runZTFScript
action,tao,fetchBaseInfo
action,tao,fetchObjectInfoByID
action,tao,getActionListByTypeAndID
action,tao,getCaseRelated
action,tao,getGenerateRelated
action,tao,getNeedRelatedFields
action,tao,getNoFilterRequiredRelation
action,tao,getObjectBaseInfo
action,tao,getReleaseRelated
action,tao,getTaskRelated
action,tao,getUndeleteParamsByObjectType
action,tao,processCreateChildrenActionExtra
action,tao,processCreateRequirementsActionExtra
action,tao,processLinkStoryAndBugActionExtra
action,tao,processMaxDocObjectLink
action,tao,processToStoryActionExtra
bi,tao,fetchActionDate
bi,tao,fetchAllTables
bug,tao,getNeedConfirmList
bug,tao,processSearchQuery
convert,tao,createDefaultExecution
convert,tao,createDefaultLayout
convert,tao,createProject
convert,tao,createTicket
convert,tao,createWorkflowField
convert,tao,createWorkflowStatus
convert,tao,importJiraChangeItem
convert,tao,importJiraIssue
convert,tao,processJiraContent
convert,tao,processJiraIssueContent
convert,tao,processWorkflowHooks
execution,tao,formatTasksForTree
kanban,tao,getBranchesForPlanKanban
kanban,tao,getStoryCardMenu
kanban,tao,getstrorycardmenu
kanban,tao,refreshBugCards
kanban,tao,refreshERURCards
kanban,tao,refreshStoryCards
kanban,tao,updateCardAssignedTo
mail,tao,getMailContent
mail,tao,getObjectForMail
mail,tao,replaceImageURL
metric,tao,getObjectsWithPager
pivot,tao,fetchPivot
pivot,tao,fetchPivotDrills
pivot,tao,getAllPivotByGroupID
pivot,tao,getBugGroup
pivot,tao,getExecutionList
pivot,tao,getPlanStatusStatistics
pivot,tao,getProductProjects
pivot,tao,processProductPlan
product,tao,fetchAllProductProjects
product,tao,fetchInvolvedProductProjects
product,tao,getCaseCountByProductIdList
project,tao,buildLinkForBug
project,tao,buildLinkForProject
project,tao,buildLinkForStory
search,tao,appendFiles
search,tao,checkDocPriv
search,tao,checkExecutionPriv
search,tao,checkFeedbackAndTicketPriv
search,tao,checkObjectPriv
search,tao,checkPriv
search,tao,checkProductPriv
search,tao,checkProgramPriv
search,tao,checkProjectPriv
search,tao,checkRelatedObjectPriv
search,tao,checkTestsuitePriv
search,tao,checkTodoPriv
search,tao,decode
search,tao,getAllowedObjects
search,tao,getObjectList
search,tao,getParamValues
search,tao,getSqlParams
search,tao,getSummary
search,tao,initOldSession
search,tao,initSession
search,tao,markKeywords
search,tao,processBuildinFields
search,tao,processDataList
search,tao,processDocRecord
search,tao,processExecutionRecord
search,tao,processIssueRecord
search,tao,processProjectRecord
search,tao,processQueryFormDatas
search,tao,processRecord
search,tao,processResults
search,tao,processRiskRecord
search,tao,processStoryRecord
search,tao,processTaskRecord
search,tao,replaceDynamic
search,tao,setCondition
search,tao,setResultsInPage
search,tao,setWhere
search,tao,unify
story,tao,doSaveUploadImage
story,tao,getChildItems
story,tao,getProductReviewers
task,tao,fetchUserTasksByType
task,tao,formatDatetime
testtask,tao,fetchTesttaskList
todo,tao,updateRow
user,tao,fetchExecutions
action,zen,getConfirmNoMessage
