模块,类,函数名
cne,model,installApp
cne,model,uploadCert
cne,model,validateCert
common,model,printDuration
convert,model,getZentaoFields
convert,model,getZentaoObjectList
instance,model,installationSettingsMap
instance,model,stop
metric,model,getDateByDateType
screen,model,genNotFoundOrDraftComponentOption
action,tao,processCreateChildrenActionExtra
action,tao,processCreateRequirementsActionExtra
action,tao,processLinkStoryAndBugActionExtra
action,tao,processToStoryActionExtra
convert,tao,createTask
kanban,tao,refreshERURCards
kanban,tao,refreshStoryCards
bug,zen,buildBrowseView
doc,zen,previewFeedback
pivot,zen,projectDeviation
