模块,类,函数名
action,model,printAction
action,model,printActionForGitLab
action,model,printChanges
action,model,processActionForAPI
action,model,processDynamicForAPI
action,model,renderAction
admin,model,getSecretKey
admin,model,setSubMenu
admin,model,setSwitcher
aiapp,model,__construct
ai,model,complete
ai,model,converseForJSON
ai,model,converseTwiceForJSON
ai,model,countLatestMiniPrograms
ai,model,deleteModel
ai,model,edit
ai,model,executePrompt
ai,model,extractZtAppZip
ai,model,generateDemoDataPrompt
ai,model,getAssistantsByModel
ai,model,getLatestMiniPrograms
ai,model,getMiniProgramsByID
ai,model,getObjectForPromptById
ai,model,getPromptsForUser
ai,model,getPublishedCustomCategories
ai,model,getTargetFormLocation
ai,model,getTestingLocation
ai,model,makeRequest
ai,model,publishMiniProgram
ai,model,serializeDataToPrompt
ai,model,testModelConnection
ai,model,toggleModel
ai,model,updateModel
ai,model,useLanguageModel
api,model,createDemoApiSpec
api,model,createdemospecapi
backup,model,getDirSize
backup,model,getDiskSpace
bi,model,buildQueryResultTableColumns
bi,model,checkDuckDBFile
bi,model,convertDataForDtable
bi,model,downloadFile
bi,model,genWaterpolo
bi,model,getColumnsType
bi,model,getCorrectGroup
bi,model,getDrillFields
bi,model,getFields
bi,model,getFieldsWithAlias
bi,model,getFieldsWithTable
bi,model,getObjectOptions
bi,model,getOptionsFromSql
bi,model,getParams4Rebuild
bi,model,getScopeOptions
bi,model,getSQL
bi,model,getSqlTypeAndFields
bi,model,getTableAndFields
bi,model,getTableByAlias
bi,model,getTableFields
bi,model,getTableFieldsMenu
bi,model,getTableList
bi,model,initParquet
bi,model,json2Array
bi,model,jsonEncode
bi,model,parseSqlVars
bi,model,parseTableList
bi,model,parseToStatement
bi,model,prepareBuiltinChartSQL
bi,model,prepareBuiltinMetricSQL
bi,model,prepareBuiltinScreenSQL
bi,model,prepareColumns
bi,model,prepareDrillConditions
bi,model,prepareFieldObjects
bi,model,prepareFieldSettingFormData
bi,model,preparePivotObject
bi,model,processDrills
bi,model,query
bi,model,sql2Statement
bi,model,validateSql
block,model,getModelType4Projects
branch,model,manage
bug,model,getDatatableModules
bug,model,getLinkedCommits
bug,model,getRelatedObjects
bug,model,updateLinkedCommits
build,model,addReleaseLabelForBuilds
build,model,getRelatedReleases
caselib,model,getPairs
caselib,model,setLibMenu
chart,model,__construct
chart,model,addFormatter4Echart
chart,model,addRotate4Echart
chart,model,checkAccess
chart,model,genCluBar
chart,model,genLineChart
chart,model,genPie
chart,model,genRadar
chart,model,genWaterpolo
cne,model,__construct
cne,model,apiGet
cne,model,apiPost
cne,model,appDBDetail
cne,model,backup
cne,model,batchQueryStatus
