模块,类,函数名
action,model,deleteByType
action,model,getLikeObject
action,model,getTrashObjectTypes
action,model,processDynamicForAPI
action,model,processProjectActions
action,model,renderAction
action,model,updateObjectByID
admin,model,checkInternet
admin,model,getApiConfig
ai,model,tryPunctuate
api,model,createStruct
api,model,deleteRelease
api,model,getApiStatusText
api,model,getPrivApis
api,model,publishLib
api,model,updateStruct
backup,model,addFileHeader
backup,model,getBackupDirProgress
backup,model,getBackupPath
backup,model,getTmpLogFile
backup,model,processFileSize
backup,model,processSummary
backup,model,removeFileHeader
bi,model,buildQueryResultTableColumns
bi,model,getColumns
bi,model,getDuckdbBinConfig
block,model,checkAPI
block,model,getBlockInitStatus
block,model,getMyDashboard
block,model,getSpecifiedBlockID
block,model,reset
branch,model,changeBranchLanguage
branch,model,getProductType
branch,model,getStatusList
branch,model,linkBranch4Project
branch,model,sort
branch,model,unlinkBranch4Project
bug,model,getDataOfClosedBugsPerDay
bug,model,getDataOfClosedBugsPerUser
bug,model,getDataOfOpenedBugsPerDay
bug,model,getDataOfOpenedBugsPerUser
bug,model,getDataOfResolvedBugsPerDay
bug,model,getDataOfResolvedBugsPerUser
build,model,batchUnlinkStory
build,model,getBugList
build,model,getByID
build,model,getStoryBuilds
build,model,getStoryList
build,model,isClickable
build,model,joinChildBuilds
build,model,linkStory
build,model,updateLinkedBug
caselib,model,getLibraries
caselib,model,isClickable
chart,model,getFirstGroup
ci,model,checkCompileStatus
ci,model,getCompileByID
ci,model,saveCompile
ci,model,sendRequest
ci,model,setMenu
ci,model,transformAnsiToHtml
cne,model,allDBList
cne,model,certInfo
cne,model,sharedDBList
cne,model,sysDomain
common,model,createMenuLink
common,model,isOpenMethod
common,model,judgeSuhosinSetting
common,model,replaceMenuLang
common,model,setCompany
common,model,setUser
company,model,getByID
company,model,getFirst
company,model,getOutsideCompanies
compile,model,createByJob
compile,model,getByID
compile,model,getLastResult
compile,model,getListByJobID
compile,model,getLogs
compile,model,getSuccessJobs
