模块,类,函数名
action,model,getAccountFirstAction
action,model,renderAction
action,model,formatActionComment
action,model,printAction
action,model,printChanges
action,model,printActionForGitLab
action,model,processActionForAPI
action,model,buildTrashSearchForm
action,model,getAttributeByExecutionID
action,model,getObjectTypeTeamParams
action,model,checkActionCanUndelete
admin,model,getSecretKey
admin,model,getSignature
admin,model,setMenu
admin,model,checkPrivMenu
admin,model,setSubMenu
admin,model,setTabMenu
admin,model,genDateUsed
admin,model,setSwitcher
ai,model,isClickable
ai,model,setModelConfig
ai,model,useLanguageModel
ai,model,hasModelsAvailable
ai,model,getLanguageModels
ai,model,getLanguageModelNamesWithDefault
ai,model,getLanguageModel
ai,model,getDefaultLanguageModel
ai,model,serializeModel
ai,model,unserializeModel
ai,model,createModel
ai,model,updateModel
ai,model,toggleModel
ai,model,deleteModel
ai,model,testModelConnection
ai,model,makeRequest
ai,model,getProxyType
ai,model,camelCaseToSnakeCase
ai,model,standardizeParams
ai,model,assembleRequestData
ai,model,decodeResponse
ai,model,parseTextResponse
ai,model,parseChatResponse
ai,model,parseFunctionCallResponse
ai,model,complete
ai,model,edit
ai,model,converse
ai,model,converseForJSON
ai,model,converseTwiceForJSON
ai,model,getLatestMiniPrograms
ai,model,countLatestMiniPrograms
ai,model,saveMiniProgramMessage
ai,model,deleteHistoryMessagesByID
ai,model,getHistoryMessages
ai,model,getMiniProgramsByID
ai,model,getMiniProgramByID
ai,model,getCustomCategories
ai,model,getUsedCustomCategories
ai,model,getPublishedCustomCategories
ai,model,checkDuplicatedCategory
ai,model,updateCustomCategories
ai,model,getMiniPrograms
ai,model,getMiniProgramFields
ai,model,createNewVersionNotification
ai,model,publishMiniProgram
ai,model,collectMiniProgram
ai,model,canPublishMiniProgram
ai,model,createMiniProgram
ai,model,extractZtAppZip
ai,model,saveMiniProgramFields
ai,model,checkDuplicatedAppName
ai,model,getUniqueAppName
ai,model,verifyRequiredFields
ai,model,getPrompts
ai,model,getPromptById
ai,model,createPrompt
ai,model,updatePrompt
ai,model,deletePrompt
ai,model,togglePromptStatus
ai,model,serializeDataToPrompt
ai,model,generateDemoDataPrompt
ai,model,isAssoc
ai,model,getFunctionCallSchema
ai,model,getObjectForPromptById
ai,model,autoPrependNewline
ai,model,tryPunctuate
ai,model,assemblePrompt
ai,model,executePrompt
ai,model,isExecutable
ai,model,getTestingLocation
ai,model,getTargetFormLocation
ai,model,tryGetRelatedObjects
ai,model,getLastActiveStep
ai,model,getPromptsForUser
ai,model,filterPromptsForExecution
ai,model,setInjectData
ai,model,getRoleTemplates
ai,model,createRoleTemplate
ai,model,deleteRoleTemplate
ai,model,updateRoleTemplate
ai,model,getAssistants
ai,model,getAssistantsByModel
ai,model,getAssistantById
ai,model,createAssistant
ai,model,updateAssistant
ai,model,toggleAssistant
ai,model,checkAssistantDuplicate
ai,model,deleteAssistant
ai,model,__construct
aiapp,model,__construct
aiapp,model,getLatestMiniPrograms
aiapp,model,countLatestMiniPrograms
aiapp,model,saveMiniProgramMessage
aiapp,model,deleteHistoryMessagesByID
aiapp,model,getHistoryMessages
aiapp,model,getCollectedMiniProgramIDs
aiapp,model,getSquareCategoryArray
aiapp,model,getUsedCategoryArray
api,model,createDemoLib
api,model,createDemoStruct
api,model,createDemoStructSpec
api,model,createDemoModule
api,model,createDemoApi
api,model,createDemoApiSpec
api,model,getGroupedObjects
api,model,buildSearchForm
api,model,getApiSpecByData
api,model,getApiStructSpecByData
api,model,getTypeList
backup,model,backSQL
backup,model,backFile
backup,model,backCode
backup,model,restoreSQL
backup,model,restoreFile
backup,model,getDiskSpace
backup,model,getDirSize
bi,model,getViewableObject
bi,model,parseToStatement
bi,model,getTableAndFields
bi,model,getFields
bi,model,parseTableList
bi,model,getFieldsWithTable
bi,model,getFieldsWithAlias
bi,model,getTableByAlias
bi,model,explainSQL
bi,model,getColumnsType
bi,model,getScopeOptions
bi,model,getDataviewOptions
bi,model,getObjectOptions
bi,model,getOptionsFromSql
bi,model,genWaterpolo
bi,model,getMultiData
